site,transect,genus,B,others,FB,GA,IG,P,PR,TLS,UWS,WS,healthy,TotalD,Total Bleaching
LUDF2,3,Montastrea,0,0,0,0,0,0,0,0,0,1,1,1,0
LUDF2,3,Montipora,0,0,0,1,0,0,0,0,0,1,1,2,0
LUDF2,3,Platygyra,0,0,0,0,0,0,0,0,0,0,2,0,0
LUDF2,3,Pocillopora,47,0,0,20,0,22,0,0,0,1,39,21,47
LUDF2,3,Porites,0,0,0,0,0,2,0,0,1,0,11,1,0
LUDF2,3,Seriatopora,0,0,0,0,0,0,0,0,0,0,1,0,0
LUSF1,1,Acropora,5,0,0,0,0,0,0,0,0,0,103,0,5
LUSF1,1,Coscinaraea,0,0,1,0,0,0,0,0,0,0,9,0,1
LUSF1,1,Diploastrea,0,0,0,0,0,0,1,0,0,3,9,4,0
LUSF1,1,Favia,0,0,0,0,0,0,0,0,0,0,1,0,0
LUSF1,1,Favites,0,0,0,0,0,0,0,0,0,0,2,0,0
LUSF1,1,Fungia,0,0,0,0,0,0,0,0,0,0,1,0,0
LUSF1,1,Galaxea,2,0,0,0,0,0,0,0,0,0,0,0,2
LUSF1,1,Goniastrea,0,0,1,0,0,0,0,0,0,0,2,0,1
LUSF1,1,Goniopora,0,0,0,0,0,0,0,0,0,0,2,0,0
LUSF1,1,Hydnophora,0,0,0,0,0,0,0,0,0,0,1,0,0
LUSF1,1,Isopora,0,0,0,0,0,0,0,0,1,1,2,2,0
LUSF1,1,Leptoseris,1,0,0,0,0,0,0,0,0,0,2,0,1
LUSF1,1,Lobophyllia,0,0,0,0,0,0,0,0,0,0,2,0,0
LUSF1,1,Merulina,0,0,0,0,0,0,0,0,0,0,1,0,0
LUSF1,1,Montipora,4,0,0,0,0,0,0,0,0,0,30,0,4
LUSF1,1,Pavona,0,0,0,0,0,0,0,0,2,0,18,2,0
LUSF1,1,Platygyra,0,0,0,0,0,0,0,0,0,0,4,0,0
LUSF1,1,Pocillopora,5,0,0,6,0,1,0,0,0,0,24,6,5
LUSF1,1,Porites,3,1,4,0,0,2,4,0,25,2,62,32,7
LUSF1,1,Psammocora,0,0,0,0,0,0,0,0,0,0,3,1,0
LUSF1,1,Stylophora,0,0,0,0,0,0,0,0,0,1,3,1,0
LUSF1,1,Turbinaria ,0,0,0,0,0,0,0,0,0,0,1,0,0
LUSF1,2,Acropora,1,0,0,0,0,0,0,0,0,0,13,0,1
LUSF1,2,Astreopora,0,0,0,0,0,0,1,0,0,0,3,1,0
LUSF1,2,Coscinaraea,1,0,0,0,0,0,0,0,0,0,1,0,1
LUSF1,2,Ctenactis,0,0,0,0,0,0,1,0,0,0,0,1,0
LUSF1,2,Diploastrea,0,0,0,0,0,0,0,0,0,3,0,3,0
LUSF1,2,Echinopora,0,0,0,0,0,0,0,0,0,0,1,0,0
LUSF1,2,Favia,0,0,0,0,0,0,0,0,0,0,3,0,0
LUSF1,2,Favites,1,0,0,0,0,0,0,0,0,0,2,0,1
LUSF1,2,Fungia,0,0,0,0,0,0,2,0,0,0,0,2,0
LUSF1,2,Goniastrea,0,0,0,0,0,0,0,0,0,0,2,0,0
LUSF1,2,Isopora,0,0,0,0,0,0,0,0,0,0,2,0,0
LUSF1,2,Leptastrea,1,0,0,0,0,0,0,0,0,0,0,0,1
LUSF1,2,Lobophyllia,0,0,0,0,0,0,0,0,0,0,1,0,0
LUSF1,2,Merulina,0,0,0,0,0,0,0,0,0,0,1,0,0
LUSF1,2,Montipora,0,0,0,0,0,0,0,0,1,0,9,1,0
LUSF1,2,Pavona,0,0,0,0,0,0,0,0,0,0,19,0,0
