Location,Date,Time,SiteName,Transect#,Genus ,NumberperTransect,Growthforms,Signs of abornmality,Types,Syndrome,Causes,Potential Syndrome - If disease,Other non disease potential ,Other potential non diseae Symptom,Comments,New Cat
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Oulophyllia,1,M ,0,,,,,,,,H
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Acropora,5,B,1,"B, PD",B,B,,Bleaching ,,Partly dead with bleaching ,BL
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Acropora,1,T,1,B,B,B,,Bleaching ,,Some branches are pale,BL
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Pavona,1,SM,3,PD,,,,,,,PD
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Porites,1,M ,2,"PR, P, PD",PR,,Pigmentation Response,Predation,,Partly dead with PR due to predation injury,PR
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Porites,1,M ,0,,,,,,,,H
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Platygyra,1,M ,0,,,,,,,,H
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Favia,1,M ,3,PD,,,,,,,PD
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Favites,4,SM,3,PD,,,,,,,PD
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Montipora,1,SM,3,PD,,,,,,,PD
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Acropora,1,D,0,,,,,,,,H
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Acropora,2,B,0,,,,,,,,H
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Montipora,1,SM,1,B,B,B,,Bleaching ,,,BL
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Leptoria,3,E,1,B,B,B,,Bleaching ,,White patches on surface,BL
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Leptoria,1,E,0,,,,,,,,H
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Pocillopora,2,CC,0,,,,,,,,H
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Acropora,1,D,0,,,,,,,,H
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Platygyra,1,M ,0,,,,,,,,H
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Porites,1,M ,0,,,,,,,,H
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Platygyra,1,M ,3,PD,,,,,,,PD
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Stylophora,1,B,0,,,,,,,,H
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Pocillopora,1,CC,3,PD,,,,,,Partly smothered by algae and dirt clog,PD
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Galaxea,1,M ,1,B,B,B,,Bleaching ,,White patches on surface,BL
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Acropora,2,T,0,,,,,,,,H
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Pocillopora,1,CC,1,B,B,B,,Bleaching ,,White patches on some branches,BL
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Stylophora,1,B,0,,,,,,,,H
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Acropora,1,T,2,"GA, PR, PD",GA,,Growth Anomalies ,,Pigmentation Response,Partly dead with GA and PR,GA
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Porites,2,M ,0,,,,,,,,H
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Acropora,1,E,0,,,,,,,,H
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Pocillopora,1,CC,2,GA,GA,,Growth Anomalies ,,,,GA
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Porites,3,M ,3,PD,,,,,,,PD
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Pocillopora,1,CC,3,PD,,,,,,,PD
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Porites,1,SM,3,PD,,,,,,,PD
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Acropora,1,D,0,,,,,,,,H
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Pocillopora,6,CC,0,,,,,,,,H
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Acropora,4,T,0,,,,,,,,H
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Montipora,1,SM,0,,,,,,,,H
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Fungia,1,S,2,PR,PR,,Pigmentation Response,,,Patches of pink on surface,PR
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Millepora,2,SM,3,PD,,,,,,,PD
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Pavona,1,E,0,,,,,,,,H
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Porites,2,E,3,PD,,,,,,,PD
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Hydnophora,1,B,3,PD,,,,,,,PD
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Platygyra,1,M ,3,PD,,,,,,,PD
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Stylophora,5,B,0,,,,,,,,H
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Coscinaraea,1,E,0,,,,,,,,H
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Acropora,1,B,3,PD,,,,,,,PD
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Montipora,1,SM,1,"UWSD,PR,  PD",UWS,WSO,Ulcerative White Spot Disease,,,Partly dead colony with white spots and PR around dead portions,UWS
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Favites,1,SM,3,PD,,,,,,,PD
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Acropora,1,D,0,,,,,,,,H
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Leptoria,1,SM,1,"B, PD",B,B,,Bleaching ,,Partly dead with white spots on surface,BL
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Acropora,2,B,0,,,,,,,,H
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Acropora,1,B,1,B,B,B,,Bleaching ,,White patches on colony surface,BL
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Cyphastrea,1,SM,3,PD,,,,,,,PD
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Acropora,1,D,1,"P, GA",P,P,Growth Anomalies ,Predation,,Few branhes have white tips. Looks like drupella feeding marks ,P
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Goniastrea,1,M ,0,,,,,,,,H
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Montipora,1,E,0,,,,,,,,H
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Montipora,1,E,3,PD,,,,,,,PD
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Acropora,1,T,0,,,,,,,,H
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Acropora,1,B,1,B,B,B,,Bleaching ,,White patches on one branch,BL
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Goniastrea,1,M ,3,PD,,,,,,Few spots at the base is dead due to algae smothering ,PD
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Goniastrea,4,M ,3,PD,,,,,,,PD
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Porites,1,E,3,PD,,,,,,,PD
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Pavona,1,F,0,,,,,,,,H
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Acropora,1,B,0,,,,,,,,H
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Acropora,1,B,0,,,,,,,,H
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Porites,2,B,3,PD,,,,,,,PD
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Acropora,2,D,0,,,,,,,,H
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Montipora,1,SM,0,,,,,,,,H
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Favites,3,SM,1,"B, PD",B,B,,Bleaching ,,Partly dead colony with white patches,BL
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Acropora,1,D,3,PD,,,,,,,PD
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Platygyra,2,SM,3,PD,,,,,,,PD
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Montipora,1,SM,3,PD,,,,,,,PD
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Porites,3,SM,3,PD,,,,,,,PD
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Acropora,4,B,0,,,,,,,,H
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Acropora,2,B,3,PD,,,,,,Partly dead because of algal overgrowth and algal smothering,PD
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Stylophora,1,B,3,PD,,,,,,Partly dead because of sediment smothering,PD
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Pocillopora,3,CC,0,,,,,,,,H
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Pocillopora,1,CC,3,PD,,,,,,,PD
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Hydnophora,1,M ,0,,,,,,,,H
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Montipora,3,B,1,"B, PD",B,B,,Bleaching ,,Partly dead with white patches and algal smothering,BL
Leleuvia,11/24/2013,4:50pm,LUSOH1,1,Montipora,1,SM,3,PD,,,,,,,PD
Leleuvia,11/24/2013,4:50pm,LUSOH1,2,Porites,1,M ,4,E,,,,,,,IG
Leleuvia,11/24/2013,4:50pm,LUSOH1,2,Diploastrea,1,M ,3,PD,,,,,,,PD
Leleuvia,11/24/2013,4:50pm,LUSOH1,2,Pocillopora,1,CC,1,B,B,B,,Bleaching ,,White patches on branches,BL
Leleuvia,11/24/2013,4:50pm,LUSOH1,2,Millepora,4,B,0,,,,,,,,H
Leleuvia,11/24/2013,4:50pm,LUSOH1,2,Isopora,1,E,0,,,,,,,,H
Leleuvia,11/24/2013,4:50pm,LUSOH1,2,Millepora,7,SM,3,PD,,,,,,,PD
Leleuvia,11/24/2013,4:50pm,LUSOH1,2,Acropora,4,D,0,,,,,,,,H
Leleuvia,11/24/2013,4:50pm,LUSOH1,2,Porites,1,B,0,,,,,,,,H
Leleuvia,11/24/2013,4:50pm,LUSOH1,2,Porites,1,M ,1,"B, P, PD",B,B,,Bleaching ,Predation,Partly dead with white lines and patches,BL
Leleuvia,11/24/2013,4:50pm,LUSOH1,2,Acropora,1,B,0,,,,,,,,H
Leleuvia,11/24/2013,4:50pm,LUSOH1,2,Pocillopora,1,CC,1,"B, ",B,B,,Bleaching ,,White patches on branches,BL
Leleuvia,11/24/2013,4:50pm,LUSOH1,2,Leptoseris,1,SM,1,"B, PD",B,B,,Bleaching ,,Partly dead with white patches,BL
Leleuvia,11/24/2013,4:50pm,LUSOH1,2,Pavona,1,E,0,,,,,,,,H
Leleuvia,11/24/2013,4:50pm,LUSOH1,2,Porites,2,E,3,PD,,,,,,,PD
Leleuvia,11/24/2013,4:50pm,LUSOH1,2,Millepora,6,B,3,PD,,,,,,,PD
Leleuvia,11/24/2013,4:50pm,LUSOH1,2,Porites,1,M ,0,,,,,,,,H
Leleuvia,11/24/2013,4:50pm,LUSOH1,2,Favia,1,M ,0,,,,,,,,H
Leleuvia,11/24/2013,4:50pm,LUSOH1,2,Diploastrea,2,M ,3,PD,,,,,,,PD
