Location,Date,Time,SiteName,Transect#,Genus ,NumberperTransect,Growthforms,Signs of abornmality,Types,Potential Syndrome - If disease,Other non disease potential ,Other potential non diseae Symptom,Comments,Cat
NanuyaLailai,,,NLDF2,1,Millepora,2,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Acropora,2,B,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Porites,1,M ,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Acropora,3,T,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Montipora,1,SM,1,"UWSD, PD",Ulcerative White Spot Disease,,,Partly dead with white spots on surface,UWS
NanuyaLailai,,,NLDF2,1,Montipora,1,SM,4,"E, PD",,Eroded,,Signs of other organism burrowing ,E
NanuyaLailai,,,NLDF2,1,Acropora,1,T,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Goniastrea,1,M ,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Pavona,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Porites,2,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Porites,1,SM,1,"P, PD",,Predation,,Partly dead with fish bite marks,P
NanuyaLailai,,,NLDF2,1,Porites,2,SM,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Porites,1,SM,2,PR,Pigmentation Response,,,Pale or pink patches on surface,PR
NanuyaLailai,,,NLDF2,1,Porites,1,M ,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Pocillopora,1,CC,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Acropora,4,B,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Pocillopora,2,SM,1,"B, PD",,Bleaching ,,Partly dead with white patches on some branches,B
NanuyaLailai,,,NLDF2,1,Acropora,2,B,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Acropora,2,B,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Acropora,1,B,1,"B, PD",,Bleaching ,,Partly dead with some white branches,B
NanuyaLailai,,,NLDF2,1,Pocillopora,2,CC,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Fungia,1,SM,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Porites,1,E,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Millepora,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Pocillopora,1,CC,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Porites,1,M ,3,PD,,,,,PD
