Location,Date,SiteName,Transect#,Genus ,NumberperTransect,Growthforms,Signs of abornmality,Types,Syndrome,Causes,Comments,New Cat
Moorea,,MRSF1,1,Pocillopora,1,SM,1,B,B,B,Bleaching ,BL
Moorea,,MRSF1,1,Montastrea,1,E,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,1,SM,1,B,B,B,Bleaching,BL
Moorea,,MRSF1,1,Pocillopora,1,SM,2,PR,PR,,Pigmentation Response,PR
Moorea,,MRSF1,1,Pocillopora,1,SM,1,B,B,B,"WS, B",BL
Moorea,,MRSF1,1,Porites,1,E,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,4,SM,1,FB,FB,B,Focal bleaching with a white spot,FB
Moorea,,MRSF1,1,Porites,1,E,1,B,B,B,Bleaching,BL
Moorea,,MRSF1,1,Montipora,1,E,1,B,B,B,Bleaching ,BL
Moorea,,MRSF1,1,Pocillopora,1,SM,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,1,SM,3,PD,,,Partly dead,PD
Moorea,,MRSF1,1,Pocillopora,1,SM,1,B,B,B,Bleaching,BL
Moorea,,MRSF1,1,Porites,1,SM,1,UWS,UWS,WSO,White patches,UWS
Moorea,,MRSF1,1,Pavona,1,E,0,,,,,H
Moorea,,MRSF1,1,Porites,1,E,3,PD,,,,PD
Moorea,,MRSF1,1,Montastrea,1,E,1,B,B,B,Bleaching,BL
Moorea,,MRSF1,1,Pavona,2,E,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,2,SM,1,B,B,B,Bleaching ,BL
Moorea,,MRSF1,1,Pocillopora,1,SM,2,"PR, FB",PR,,Pigmentation Response with white spots,PR
Moorea,,MRSF1,1,Pocillopora,2,SM,1,B,B,B,Bleaching ,BL
Moorea,,MRSF1,1,Pocillopora,1,SM,0,,,,,H
Moorea,,MRSF1,1,Acropora,1,T,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,1,SM,3,PD,,,,PD
Moorea,,MRSF1,1,Pocillopora,1,SM,2,GA,GA,,,GA
Moorea,,MRSF1,1,Pocillopora,5,SM,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,2,SM,3,PD,,,Partly dead,PD
Moorea,,MRSF1,1,Pocillopora,1,SM,1,B,B,B,"Bleaching, partly dead",BL
Moorea,,MRSF1,1,Montastrea,1,M,1,B,B,B,Bleaching ,BL
Moorea,,MRSF1,1,Montipora,1,E,1,"B, GA",B,B,"Bleaching, invert gallows",BL
Moorea,,MRSF1,1,Pocillopora,3,SM,2,GA,GA,,Invert gallows,GA
Moorea,,MRSF1,1,Pavona,1,E,0,,,,,H
Moorea,,MRSF1,1,Pavona,1,E,2,PR,PR,,Pigmentation Response,PR
Moorea,,MRSF1,1,Pocillopora,1,SM,2,GA,GA,,Invert gallows,GA
Moorea,,MRSF1,1,Pocillopora,6,SM,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,2,SM,1,B,B,B,Bleached,BL
Moorea,,MRSF1,1,Pocillopora,1,SM,2,GA,GA,,Growth Anomalies,GA
Moorea,,MRSF1,1,Acropora,1,T,1,B,B,B,Bleaching ,BL
Moorea,,MRSF1,1,Pocillopora,1,SM,1,"B, GA",B,B,Bleaching and invert gallow,BL
Moorea,,MRSF1,1,Leptastrea,2,E,3,PD,,,,PD
Moorea,,MRSF1,1,Montastrea,1,E,1,B,B,B,Bleaching ,BL
Moorea,,MRSF1,1,Acropora,1,T,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,1,SM,1,"B,PD",B,B,"Bleached (pale),  algal growth on dead section",BL
Moorea,,MRSF1,1,Pocillopora,15,SM,1,B,B,B,Bleached (pale),BL
Moorea,,MRSF1,1,Pocillopora,1,SM,3,PD,,,,PD
Moorea,,MRSF1,1,Pocillopora,8,SM,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,1,SM,2,PR,PR,,Pigmentation Response,PR
Moorea,,MRSF1,1,Porites,2,M,3,PD,,,,PD
Moorea,,MRSF1,1,Montastrea,2,M,3,PD,,,,PD
Moorea,,MRSF1,1,Pocillopora,1,SM,2,"GA, PR",GA,,"Growth Anomalies, Pigmentation Response",GA
Moorea,,MRSF1,1,Favia,1,M,1,B,B,B,Bleached,BL
Moorea,,MRSF1,1,Pocillopora,44,SM,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,38,SM,1,B,B,B,Bleached,BL
Moorea,,MRSF1,1,Montastrea,1,M,3,PD,,,,PD
Moorea,,MRSF1,1,Acropora,2,T,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,35,SM,0,,,,,H
Moorea,,MRSF1,1,Porites,3,SM,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,34,SM,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,4,SM,2,PR,PR,,Pigmentation Response,PR
Moorea,,MRSF1,1,Montipora,4,E,1,B,B,B,Bleached,BL
Moorea,,MRSF1,1,Pocillopora,2,SM,2,GA,GA,,Growth Anomalies,GA
Moorea,,MRSF1,1,Pocillopora,2,SM,1,P,P,P,Predation,P
Moorea,,MRSF1,1,Montastrea,1,M,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,1,SM,3,PD,,,,PD
Moorea,,MRSF1,1,Porites,3,E,0,,,,,H
